Participant_ID,Age,Sports_Experience,Reaction_Time,Color
1,2,3,0.5534031391143799,"(110, 123, 50)"
AJ,50,yes,9.887423515319824,"(84, 200, 50)"
AJ,50,yes,0.9558713436126708,"(110, 149, 76)"
AJ,50,yes,0.6608185768127441,"(84, 200, 50)"
AJ,50,yes,0.4923074245452881,"(161, 200, 127)"
AJ,50,yes,0.6844804286956787,"(161, 123, 127)"
AJ,50,yes,0.4360463619232178,"(135, 174, 101)"
AJ,50,yes,0.5955901145935059,"(135, 174, 101)"
AJ,50,yes,0.5241234302520752,"(161, 200, 127)"
AJ,50,yes,0.5406272411346436,"(84, 123, 127)"
AJ,50,yes,0.7000100612640381,"(135, 123, 101)"
AJ,50,yes,0.5401144027709961,"(110, 123, 76)"
AJ,50,yes,0.7243115901947021,"(110, 149, 76)"
AJ,50,yes,0.836338996887207,"(110, 123, 50)"
AJ,50,yes,1.220684051513672,"(135, 123, 101)"
AJ,50,yes,0.4372203350067138,"(135, 123, 50)"
AJ,50,yes,0.4212639331817627,"(84, 123, 101)"
AJ,50,yes,0.6363437175750732,"(84, 123, 76)"
AJ,50,yes,0.0005180835723876,"(84, 149, 50)"
AJ,50,yes,0.4621741771697998,"(135, 174, 101)"
AJ,50,yes,0.4123668670654297,"(161, 123, 127)"
AJ,50,yes,1.1559176445007324,"(161, 123, 50)"
AJ,50,yes,0.5968680381774902,"(84, 123, 76)"
AJ,50,yes,0.372032880783081,"(161, 200, 127)"
AJ,50,yes,0.6360390186309814,"(135, 123, 50)"
AJ,50,yes,0.6131026744842529,"(84, 123, 76)"
AJ,50,yes,0.4684693813323974,"(84, 123, 101)"
AJ,50,yes,0.3566498756408691,"(135, 174, 101)"
AJ,50,yes,0.3325705528259277,"(84, 200, 50)"
AJ,50,yes,0.7394545078277588,"(84, 123, 127)"
AJ,50,yes,0.5808525085449219,"(84, 123, 127)"
AJ,50,yes,0.340620756149292,"(161, 200, 127)"
AJ,50,yes,0.0,"(110, 149, 76)"
AJ,50,yes,0.3660767078399658,"(84, 174, 50)"
AJ,50,yes,0.540745735168457,"(161, 123, 50)"
AJ,50,yes,0.5806849002838135,"(110, 123, 76)"
AJ,50,yes,0.3968102931976318,"(161, 123, 50)"
AJ,50,yes,0.8767797946929932,"(110, 123, 50)"
AJ,50,yes,0.3404021263122558,"(84, 123, 101)"
AJ,50,yes,0.380927562713623,"(135, 123, 50)"
AJ,50,yes,0.5483012199401855,"(84, 123, 76)"
AJ,50,yes,0.3799638748168945,"(84, 174, 50)"
AJ,50,yes,0.0,"(110, 123, 50)"
AJ,50,yes,0.4143307209014892,"(110, 123, 76)"
AJ,50,yes,0.4926660060882568,"(135, 123, 101)"
AJ,50,yes,0.0,"(110, 123, 50)"
AJ,50,yes,0.0,"(84, 200, 50)"
AJ,50,yes,0.393106460571289,"(84, 174, 50)"
