Participant_ID,Age,Sports_Experience,Reaction_Time,Color
MF,22,yes,0.001079559326171875,"(135, 123, 101)"
MF,22,yes,0.006706953048706055,"(135, 123, 101)"
MF,22,yes,0.012927532196044922,"(135, 123, 101)"
MF,22,yes,0.019734621047973633,"(135, 123, 101)"
MF,22,yes,1.8034589290618896,"(84, 123, 101)"
MF,22,yes,5.965394973754883,"(110, 123, 50)"
MF,22,yes,0.5815362930297852,"(161, 123, 127)"
MF,22,yes,1.4964160919189453,"(135, 123, 50)"
MF,22,yes,0.5654032230377197,"(84, 200, 50)"
MF,22,yes,0.5579571723937988,"(84, 200, 50)"
MF,22,yes,0.8122131824493408,"(84, 174, 50)"
MF,22,yes,0.48499369621276855,"(84, 123, 101)"
MF,22,yes,0.6371409893035889,"(135, 123, 50)"
MF,22,yes,0.35706067085266113,"(161, 123, 127)"
MF,22,yes,0.39694738388061523,"(110, 149, 76)"
MF,22,yes,0.3569066524505615,"(135, 123, 50)"
MF,22,yes,0.357377290725708,"(84, 123, 127)"
MF,22,yes,0.37328457832336426,"(161, 200, 127)"
MF,22,yes,0.42124271392822266,"(84, 123, 101)"
MF,22,yes,2.02082896232605,"(84, 123, 76)"
MF,22,yes,0.9176037311553955,"(84, 123, 76)"
MF,22,yes,0.3818047046661377,"(161, 200, 127)"
MF,22,yes,0.36503005027770996,"(84, 123, 101)"
MF,22,yes,0.36512112617492676,"(161, 200, 127)"
MF,22,yes,0.37355518341064453,"(84, 149, 50)"
MF,22,yes,0.37276434898376465,"(135, 174, 101)"
MF,22,yes,0.3973996639251709,"(84, 174, 50)"
MF,22,yes,0.396618127822876,"(135, 123, 101)"
MF,22,yes,0.42944955825805664,"(135, 174, 101)"
MF,22,yes,0.3485560417175293,"(110, 149, 76)"
MF,22,yes,0.35674190521240234,"(161, 123, 127)"
MF,22,yes,0.349454402923584,"(161, 123, 50)"
MF,22,yes,0.3331437110900879,"(161, 123, 50)"
MF,22,yes,0.36488938331604004,"(135, 123, 101)"
MF,22,yes,1.7970643043518066,"(135, 123, 50)"
MF,22,yes,0.3170773983001709,"(110, 123, 50)"
MF,22,yes,0.4528205394744873,"(135, 123, 101)"
MF,22,yes,0.36505126953125,"(84, 174, 50)"
MF,22,yes,0.3653559684753418,"(161, 200, 127)"
MF,22,yes,0.3650507926940918,"(161, 123, 50)"
MF,22,yes,0.9250369071960449,"(110, 123, 76)"
MF,22,yes,0.3495945930480957,"(161, 123, 50)"
MF,22,yes,0.43706750869750977,"(161, 123, 127)"
MF,22,yes,0.4129676818847656,"(135, 174, 101)"
MF,22,yes,3.0853023529052734,"(110, 123, 50)"
MF,22,yes,0.701101541519165,"(110, 123, 76)"
MF,22,yes,1.2925686836242676,"(110, 123, 76)"
MF,22,yes,0.50946044921875,"(110, 149, 76)"
MF,22,yes,0.3812549114227295,"(84, 149, 50)"
MF,22,yes,0.42922115325927734,"(84, 123, 76)"
MF,22,yes,0.3087294101715088,"(84, 200, 50)"
MF,22,yes,0.3172950744628906,"(84, 174, 50)"
MF,22,yes,0.3731534481048584,"(135, 174, 101)"
MF,22,yes,0.3972606658935547,"(84, 123, 76)"
MF,22,yes,0.3815736770629883,"(110, 149, 76)"
MF,22,yes,0.4925997257232666,"(84, 123, 127)"
MF,22,yes,0.3172907829284668,"(84, 200, 50)"
MF,22,yes,0.3728926181793213,"(84, 123, 127)"
MF,22,yes,2.380229949951172,"(110, 123, 76)"
MF,22,yes,0.3890645503997803,"(84, 123, 127)"
MF,22,yes,0.4210059642791748,"(84, 149, 50)"
MF,22,yes,4.189159631729126,"(110, 123, 50)"
MF,22,yes,0.4451608657836914,"(84, 149, 50)"
