Participant_ID,Age,Sports_Experience,Reaction_Time,Color
MM, 23,yes ,1.2035036087036133,"(161, 123, 127)"
MM, 23,yes ,0.38829612731933594,"(135, 174, 101)"
MM, 23,yes ,0.4032478332519531,"(135, 123, 101)"
MM, 23,yes ,0.392561674118042,"(110, 123, 76)"
MM, 23,yes ,0.4578530788421631,"(84, 123, 76)"
MM, 23,yes ,0.0,"(110, 123, 50)"
MM, 23,yes ,0.3100755214691162,"(84, 123, 101)"
MM, 23,yes ,0.37139010429382324,"(161, 123, 50)"
MM, 23,yes ,0.38198256492614746,"(135, 123, 101)"
MM, 23,yes ,0.5735316276550293,"(135, 123, 101)"
MM, 23,yes ,0.35076212882995605,"(110, 123, 76)"
MM, 23,yes ,0.31275033950805664,"(84, 200, 50)"
MM, 23,yes ,0.44820451736450195,"(110, 123, 50)"
MM, 23,yes ,0.36301589012145996,"(110, 149, 76)"
MM, 23,yes ,0.0,"(161, 123, 50)"
MM, 23,yes ,0.3859238624572754,"(135, 174, 101)"
MM, 23,yes ,0.4850499629974365,"(135, 123, 50)"
MM, 23,yes ,0.33477306365966797,"(84, 149, 50)"
MM, 23,yes ,0.41634440422058105,"(84, 123, 76)"
MM, 23,yes ,0.38791561126708984,"(84, 149, 50)"
MM, 23,yes ,0.3112645149230957,"(161, 123, 127)"
MM, 23,yes ,0.3381369113922119,"(135, 174, 101)"
MM, 23,yes ,0.3595917224884033,"(84, 123, 127)"
MM, 23,yes ,0.3921515941619873,"(110, 123, 76)"
MM, 23,yes ,0.36459994316101074,"(84, 123, 127)"
MM, 23,yes ,0.33950233459472656,"(84, 123, 101)"
MM, 23,yes ,0.34996509552001953,"(84, 200, 50)"
MM, 23,yes ,0.0382390022277832,"(161, 123, 127)"
MM, 23,yes ,0.2857375144958496,"(84, 200, 50)"
MM, 23,yes ,0.3358488082885742,"(84, 123, 127)"
MM, 23,yes ,0.3429527282714844,"(161, 200, 127)"
MM, 23,yes ,0.3012247085571289,"(110, 123, 76)"
MM, 23,yes ,0.405902624130249,"(110, 149, 76)"
MM, 23,yes ,0.313323974609375,"(84, 174, 50)"
MM, 23,yes ,0.3563251495361328,"(135, 123, 101)"
MM, 23,yes ,0.37708330154418945,"(161, 123, 50)"
MM, 23,yes ,0.38103532791137695,"(135, 123, 50)"
MM, 23,yes ,0.3060615062713623,"(84, 149, 50)"
MM, 23,yes ,0.39583444595336914,"(161, 123, 127)"
MM, 23,yes ,0.3095223903656006,"(161, 200, 127)"
MM, 23,yes ,0.3529942035675049,"(84, 174, 50)"
MM, 23,yes ,0.3568117618560791,"(135, 123, 50)"
MM, 23,yes ,0.32070064544677734,"(110, 123, 50)"
MM, 23,yes ,0.2925722599029541,"(135, 123, 50)"
MM, 23,yes ,0.31681060791015625,"(135, 174, 101)"
MM, 23,yes ,0.3012983798980713,"(84, 123, 76)"
MM, 23,yes ,0.3016073703765869,"(161, 123, 50)"
MM, 23,yes ,0.3352541923522949,"(84, 123, 76)"
MM, 23,yes ,0.30516982078552246,"(84, 149, 50)"
MM, 23,yes ,0.29750990867614746,"(161, 200, 127)"
MM, 23,yes ,0.31707024574279785,"(84, 123, 101)"
MM, 23,yes ,0.39305615425109863,"(84, 200, 50)"
MM, 23,yes ,0.3720388412475586,"(84, 123, 101)"
MM, 23,yes ,0.3220367431640625,"(84, 123, 127)"
MM, 23,yes ,0.4748523235321045,"(110, 149, 76)"
MM, 23,yes ,0.27379894256591797,"(84, 174, 50)"
MM, 23,yes ,0.27600669860839844,"(110, 123, 50)"
MM, 23,yes ,0.37987852096557617,"(161, 200, 127)"
MM, 23,yes ,0.32029128074645996,"(110, 149, 76)"
MM, 23,yes ,0.2983074188232422,"(84, 174, 50)"
