Participant_ID,Age,Sports_Experience,Correct,Number_Shown,Color
MM, 23,yes ,True,3,"(135, 123, 50)"
MM, 23,yes ,True,5,"(135, 174, 101)"
MM, 23,yes ,True,2,"(84, 123, 101)"
MM, 23,yes ,True,3,"(161, 123, 127)"
MM, 23,yes ,True,4,"(161, 123, 127)"
MM, 23,yes ,True,4,"(110, 123, 50)"
MM, 23,yes ,True,4,"(84, 200, 50)"
MM, 23,yes ,False,4,"(135, 123, 50)"
MM, 23,yes ,True,4,"(135, 123, 50)"
MM, 23,yes ,True,3,"(84, 123, 76)"
MM, 23,yes ,True,4,"(161, 123, 50)"
MM, 23,yes ,True,2,"(161, 200, 127)"
MM, 23,yes ,True,4,"(135, 123, 50)"
MM, 23,yes ,True,4,"(110, 123, 50)"
MM, 23,yes ,True,5,"(84, 123, 76)"
MM, 23,yes ,True,3,"(161, 123, 50)"
MM, 23,yes ,True,3,"(135, 174, 101)"
MM, 23,yes ,True,2,"(84, 174, 50)"
MM, 23,yes ,True,1,"(84, 174, 50)"
MM, 23,yes ,True,4,"(135, 123, 101)"
MM, 23,yes ,True,4,"(161, 200, 127)"
MM, 23,yes ,True,5,"(161, 200, 127)"
MM, 23,yes ,True,2,"(84, 149, 50)"
MM, 23,yes ,True,4,"(110, 149, 76)"
MM, 23,yes ,True,1,"(110, 123, 76)"
MM, 23,yes ,True,5,"(110, 123, 50)"
MM, 23,yes ,True,1,"(84, 123, 127)"
MM, 23,yes ,True,4,"(84, 123, 127)"
MM, 23,yes ,True,4,"(135, 174, 101)"
MM, 23,yes ,True,5,"(110, 149, 76)"
MM, 23,yes ,False,5,"(110, 123, 50)"
MM, 23,yes ,True,2,"(84, 174, 50)"
MM, 23,yes ,True,5,"(84, 149, 50)"
MM, 23,yes ,True,5,"(161, 200, 127)"
MM, 23,yes ,True,1,"(84, 200, 50)"
MM, 23,yes ,True,5,"(110, 123, 76)"
MM, 23,yes ,True,4,"(84, 200, 50)"
MM, 23,yes ,True,3,"(84, 123, 76)"
MM, 23,yes ,True,4,"(110, 149, 76)"
MM, 23,yes ,True,5,"(84, 200, 50)"
MM, 23,yes ,True,5,"(135, 123, 101)"
MM, 23,yes ,True,3,"(84, 123, 101)"
MM, 23,yes ,True,5,"(84, 174, 50)"
MM, 23,yes ,True,3,"(161, 123, 127)"
MM, 23,yes ,True,2,"(135, 123, 101)"
MM, 23,yes ,True,4,"(161, 123, 127)"
MM, 23,yes ,True,3,"(161, 123, 50)"
MM, 23,yes ,True,4,"(110, 149, 76)"
MM, 23,yes ,True,3,"(161, 123, 50)"
MM, 23,yes ,False,1,"(110, 123, 76)"
MM, 23,yes ,True,3,"(135, 123, 101)"
MM, 23,yes ,True,5,"(84, 123, 101)"
MM, 23,yes ,True,1,"(84, 123, 101)"
MM, 23,yes ,True,4,"(84, 149, 50)"
MM, 23,yes ,True,1,"(84, 123, 76)"
MM, 23,yes ,True,1,"(84, 123, 127)"
MM, 23,yes ,True,4,"(84, 123, 127)"
MM, 23,yes ,True,3,"(110, 123, 76)"
MM, 23,yes ,True,2,"(84, 149, 50)"
MM, 23,yes ,True,3,"(135, 174, 101)"
