Participant_ID,Age,Sports_Experience,Correct,Number_Shown,Color
MF,22,yes,False,5,"(84, 123, 101)"
MF,22,yes,True,1,"(110, 123, 50)"
MF,22,yes,True,2,"(110, 123, 50)"
MF,22,yes,True,2,"(135, 123, 50)"
MF,22,yes,True,1,"(135, 123, 101)"
MF,22,yes,True,1,"(135, 123, 101)"
MF,22,yes,True,3,"(84, 149, 50)"
MF,22,yes,True,3,"(84, 123, 101)"
MF,22,yes,True,1,"(84, 200, 50)"
MF,22,yes,True,2,"(84, 123, 127)"
MF,22,yes,True,3,"(135, 123, 50)"
MF,22,yes,False,4,"(161, 200, 127)"
MF,22,yes,True,4,"(84, 123, 101)"
MF,22,yes,False,3,"(84, 123, 76)"
MF,22,yes,True,4,"(135, 123, 50)"
MF,22,yes,True,1,"(84, 200, 50)"
MF,22,yes,True,4,"(161, 200, 127)"
MF,22,yes,True,4,"(84, 174, 50)"
MF,22,yes,True,5,"(84, 123, 127)"
MF,22,yes,True,2,"(84, 174, 50)"
MF,22,yes,True,4,"(135, 174, 101)"
MF,22,yes,False,4,"(110, 123, 76)"
MF,22,yes,True,3,"(84, 174, 50)"
MF,22,yes,True,1,"(110, 149, 76)"
MF,22,yes,True,3,"(110, 123, 50)"
MF,22,yes,True,1,"(84, 123, 76)"
MF,22,yes,True,5,"(161, 123, 127)"
MF,22,yes,True,3,"(84, 123, 127)"
MF,22,yes,True,5,"(84, 123, 76)"
MF,22,yes,True,4,"(161, 123, 127)"
MF,22,yes,True,3,"(161, 123, 50)"
MF,22,yes,True,5,"(135, 123, 50)"
MF,22,yes,True,3,"(110, 149, 76)"
MF,22,yes,True,1,"(135, 174, 101)"
MF,22,yes,True,5,"(135, 123, 101)"
MF,22,yes,True,1,"(84, 123, 76)"
MF,22,yes,True,4,"(84, 200, 50)"
MF,22,yes,True,1,"(84, 149, 50)"
MF,22,yes,True,5,"(135, 123, 101)"
MF,22,yes,True,3,"(110, 149, 76)"
MF,22,yes,True,1,"(84, 149, 50)"
MF,22,yes,True,2,"(161, 200, 127)"
MF,22,yes,False,2,"(110, 123, 76)"
MF,22,yes,True,2,"(110, 123, 76)"
MF,22,yes,True,2,"(161, 200, 127)"
MF,22,yes,True,1,"(110, 123, 50)"
MF,22,yes,True,3,"(110, 123, 76)"
MF,22,yes,True,4,"(135, 174, 101)"
MF,22,yes,True,4,"(135, 174, 101)"
MF,22,yes,True,5,"(161, 123, 50)"
MF,22,yes,True,3,"(110, 149, 76)"
MF,22,yes,True,4,"(84, 123, 127)"
MF,22,yes,True,5,"(84, 149, 50)"
MF,22,yes,True,5,"(161, 123, 50)"
MF,22,yes,True,5,"(161, 123, 127)"
MF,22,yes,True,4,"(84, 200, 50)"
MF,22,yes,True,3,"(84, 174, 50)"
MF,22,yes,True,3,"(161, 123, 127)"
MF,22,yes,True,1,"(84, 123, 101)"
MF,22,yes,True,4,"(161, 123, 50)"
